"check","pass"
"stage55_pass",TRUE
"stage56_pass",TRUE
"stage56_final_audit_all_pass",TRUE
"source_md5_matches_stage55_and_stage56",TRUE
"sensitivity_manifest_exact_S1_S4",TRUE
"S1_horizon_exactly_730_days",TRUE
"S1_visit_models_all_converged",TRUE
"S1_same_visit_leakage_absent",TRUE
"S1_history_rules_pass",TRUE
"S1_M9_M11_weights_positive_finite",TRUE
"S1_M8_M11_outcome_models_all_converged",TRUE
"S1_day365_change_four_methods_finite",TRUE
"primary_1_99_weights_reconstructed_exactly",TRUE
"S2_truncation_exactly_0_5_99_5_type8",TRUE
"S2_M9_M11_weights_positive_finite",TRUE
"S2_M9_M11_outcome_models_all_converged",TRUE
"S2_day365_change_three_methods_finite",TRUE
"S3_no_truncation_applied",TRUE
"S3_M9_M11_weights_positive_finite",TRUE
"S3_M9_M11_outcome_models_all_converged",TRUE
"S3_day365_change_three_methods_finite",TRUE
"S4_primary_and_730_visit_diagnostics_present",TRUE
"S4_primary_730_mild_untruncated_weight_diagnostics_present",TRUE
"M12_not_fitted",TRUE
"primary_stage56_results_not_overwritten",TRUE
