"scenario_id","mechanism","structure","true_beta3","method_short","bias","rmse","coverage_95","rejection_rate_005","rejection_label"
"VS_B_N","VS","B",0,"M8",-0.000193305837212822,0.0318092168560376,0.944,0.056,"type_I_error"
"VS_B_N","VS","B",0,"M9",-0.000572002850291015,0.0284372359506877,0.933,0.067,"type_I_error"
"VS_B_N","VS","B",0,"M10",-0.000523321984478555,0.0283924608891707,0.933,0.067,"type_I_error"
"VS_B_N","VS","B",0,"M11",-0.000531979388395233,0.0283811980206015,0.931,0.069,"type_I_error"
"VS_B_N","VS","B",0,"M12",-0.000783779117295364,0.0281786795450302,0.937,0.063,"type_I_error"
"VS_B_A","VS","B",0.2,"M8",0.00170435105271739,0.0324320036191822,0.941,1,"power"
"VS_B_A","VS","B",0.2,"M9",-0.00321857544823457,0.0274162717284164,0.947,1,"power"
"VS_B_A","VS","B",0.2,"M10",-0.00334241377401973,0.0271957216384186,0.949,1,"power"
"VS_B_A","VS","B",0.2,"M11",-0.00317968198469079,0.0272324675606647,0.949,1,"power"
"VS_B_A","VS","B",0.2,"M12",-0.00471314299388621,0.0271100427098656,0.947,1,"power"
"VS_SH_N","VS","SH",0,"M8",0.00114659112532316,0.0324863722162963,0.943,0.057,"type_I_error"
"VS_SH_N","VS","SH",0,"M9",0.0011846522400691,0.0276682688300318,0.944,0.056,"type_I_error"
"VS_SH_N","VS","SH",0,"M10",0.000817329032013127,0.0273544334235357,0.946,0.054,"type_I_error"
"VS_SH_N","VS","SH",0,"M11",0.000795565677605103,0.027293070877931,0.943,0.057,"type_I_error"
"VS_SH_N","VS","SH",0,"M12",0.000783443088748182,0.0269915316458585,0.943,0.057,"type_I_error"
"VS_SH_A","VS","SH",0.2,"M8",0.0025549870741252,0.0319990248028326,0.941,1,"power"
"VS_SH_A","VS","SH",0.2,"M9",-0.00270204664398207,0.0275181833863382,0.952,1,"power"
"VS_SH_A","VS","SH",0.2,"M10",-0.00342612508863064,0.0277379817624858,0.947,1,"power"
"VS_SH_A","VS","SH",0.2,"M11",-0.00331837140987356,0.0277090469778116,0.946,1,"power"
"VS_SH_A","VS","SH",0.2,"M12",-0.0045201122351235,0.0275410790301344,0.949,1,"power"
"VD_B_N","VD","B",0,"M8",-0.0537946409316541,0.0632838988725935,0.586,0.414,"type_I_error"
"VD_B_N","VD","B",0,"M9",-0.0100218824044939,0.0285190470992102,0.935,0.065,"type_I_error"
"VD_B_N","VD","B",0,"M10",-0.00962927299498552,0.0285190428994546,0.935,0.065,"type_I_error"
"VD_B_N","VD","B",0,"M11",-0.0103916805189891,0.0288504357579201,0.931,0.069,"type_I_error"
"VD_B_N","VD","B",0,"M12",-0.00695809690073514,0.0273478094576031,0.95,0.05,"type_I_error"
"VD_B_A","VD","B",0.2,"M8",-0.0497379179206798,0.0592005397785409,0.637,0.993,"power"
"VD_B_A","VD","B",0.2,"M9",-0.0129261648388844,0.0300737294511315,0.93,1,"power"
"VD_B_A","VD","B",0.2,"M10",-0.0124351345158925,0.0298868942190135,0.929,1,"power"
"VD_B_A","VD","B",0.2,"M11",-0.0128492398253317,0.0300526094131768,0.924,1,"power"
"VD_B_A","VD","B",0.2,"M12",-0.0135553339620566,0.0300964349762321,0.927,1,"power"
"VD_SH_N","VD","SH",0,"M8",-0.0503545555910935,0.0596822709951788,0.635,0.365,"type_I_error"
"VD_SH_N","VD","SH",0,"M9",-0.00830245262040676,0.0277434923021273,0.947,0.053,"type_I_error"
"VD_SH_N","VD","SH",0,"M10",-0.00844056537280706,0.0278427026130113,0.938,0.062,"type_I_error"
"VD_SH_N","VD","SH",0,"M11",-0.00855032871537585,0.0278461756314476,0.939,0.061,"type_I_error"
"VD_SH_N","VD","SH",0,"M12",-0.00530421903949842,0.0264726327692391,0.955,0.045,"type_I_error"
"VD_SH_A","VD","SH",0.2,"M8",-0.0483727548533702,0.0577014752334651,0.651,0.989,"power"
"VD_SH_A","VD","SH",0.2,"M9",-0.0121607221037248,0.0295746646726591,0.931,1,"power"
"VD_SH_A","VD","SH",0.2,"M10",-0.0130146171060037,0.0295772472032884,0.928,1,"power"
"VD_SH_A","VD","SH",0.2,"M11",-0.0128739032562315,0.0295588389185776,0.926,1,"power"
"VD_SH_A","VD","SH",0.2,"M12",-0.0132070145143287,0.0295553226699854,0.928,1,"power"
