"sensitivity_id","horizon_days","model","converged","n_risk_rows","same_visit_leakage_absent","history_rule_pass","formula","warnings"
"PRIMARY_365_1_99",365,"M9_denominator",TRUE,953380,TRUE,TRUE,"observed_event ~ baseline_va + gender + baseline_age + ethnicity +      time + I(time^2) + design_stratum + last_va + last_inj_num +      last_inj_given + gap_days",
"PRIMARY_365_1_99",365,"M9_numerator",TRUE,953380,TRUE,TRUE,"observed_event ~ baseline_va + gender + baseline_age + ethnicity +      time + I(time^2) + design_stratum",
"PRIMARY_365_1_99",365,"M10_M11_eye_denominator",TRUE,729816,TRUE,TRUE,"eye_event ~ baseline_va + gender + baseline_age + ethnicity +      time + I(time^2) + last_va + last_inj_num + last_inj_given +      gap_days",
"PRIMARY_365_1_99",365,"M10_M11_eye_numerator",TRUE,729816,TRUE,TRUE,"eye_event ~ baseline_va + gender + baseline_age + ethnicity +      time + I(time^2)",
"PRIMARY_365_1_99",365,"M10_M11_shared_denominator",TRUE,237250,TRUE,TRUE,"shared_event ~ baseline_va + gender + baseline_age + ethnicity +      time + I(time^2) + last_patient_mean + last_patient_inj_num +      last_patient_inj_given + gap_patient_mean",
"PRIMARY_365_1_99",365,"M10_M11_shared_numerator",TRUE,237250,TRUE,TRUE,"shared_event ~ baseline_va + gender + baseline_age + ethnicity +      time + I(time^2)",
"S1_HORIZON",730,"M9_denominator",TRUE,1908220,TRUE,TRUE,"observed_event ~ baseline_va + gender + baseline_age + ethnicity +      time + I(time^2) + design_stratum + last_va + last_inj_num +      last_inj_given + gap_days",
"S1_HORIZON",730,"M9_numerator",TRUE,1908220,TRUE,TRUE,"observed_event ~ baseline_va + gender + baseline_age + ethnicity +      time + I(time^2) + design_stratum",
"S1_HORIZON",730,"M10_M11_eye_denominator",TRUE,1461690,TRUE,TRUE,"eye_event ~ baseline_va + gender + baseline_age + ethnicity +      time + I(time^2) + last_va + last_inj_num + last_inj_given +      gap_days",
"S1_HORIZON",730,"M10_M11_eye_numerator",TRUE,1461690,TRUE,TRUE,"eye_event ~ baseline_va + gender + baseline_age + ethnicity +      time + I(time^2)",
"S1_HORIZON",730,"M10_M11_shared_denominator",TRUE,474500,TRUE,TRUE,"shared_event ~ baseline_va + gender + baseline_age + ethnicity +      time + I(time^2) + last_patient_mean + last_patient_inj_num +      last_patient_inj_given + gap_patient_mean",
"S1_HORIZON",730,"M10_M11_shared_numerator",TRUE,474500,TRUE,TRUE,"shared_event ~ baseline_va + gender + baseline_age + ethnicity +      time + I(time^2)",

