"method","sensitivity_id","sensitivity_estimate","sensitivity_std_error","sensitivity_ci_lower","sensitivity_ci_upper","observed_mean_baseline_va","primary_estimate","primary_std_error","primary_ci_lower","primary_ci_upper","difference_from_primary"
"M1","S1_HORIZON",4.94958906953479,0.265540725029507,4.42912924847695,5.47004889059263,60.9785768936496,5.01238466333609,0.381400291353615,4.264840092283,5.75992923438917,-0.0627955938013001
"M2","S1_HORIZON",4.73092236614563,0.263918800504381,4.21364151715704,5.24820321513422,60.9785768936496,5.10711574391359,0.378545580021426,4.36516640707159,5.84906508075559,-0.37619337776796
"M3","S1_HORIZON",4.75835369073915,0.264628681764076,4.23968147448156,5.27702590699673,60.9785768936496,5.14521496075469,0.381093754369978,4.39827120218954,5.89215871931984,-0.38686127001554
"M4","S1_HORIZON",4.80661597077634,0.263306125763787,4.29053596427932,5.32269597727336,60.9785768936496,5.13615039039843,0.380236449510346,4.39088694935815,5.88141383143871,-0.32953441962209
"M2","S2_TRUNCATION_MILD",5.10937629354394,0.37838852717208,4.36773478028666,5.85101780680122,60.9800918836141,5.10711574391359,0.378545580021426,4.36516640707159,5.84906508075559,0.00226054963035072
"M3","S2_TRUNCATION_MILD",5.14523986058719,0.381243255001821,4.39800308078362,5.89247664039076,60.9800918836141,5.14521496075469,0.381093754369978,4.39827120218954,5.89215871931984,2.48998324998695e-05
"M4","S2_TRUNCATION_MILD",5.13607166209855,0.38039894806474,4.39048972389167,5.88165360030543,60.9800918836141,5.13615039039843,0.380236449510346,4.39088694935815,5.88141383143871,-7.87282998802041e-05
"M2","S3_UNTRUNCATED",5.11712538865152,0.378570958559023,4.37512630987583,5.85912446742721,60.9800918836141,5.10711574391359,0.378545580021426,4.36516640707159,5.84906508075559,0.0100096447379299
"M3","S3_UNTRUNCATED",5.15127048684639,0.381720208938182,4.40309887732756,5.89944209636523,60.9800918836141,5.14521496075469,0.381093754369978,4.39827120218954,5.89215871931984,0.0060555260916999
"M4","S3_UNTRUNCATED",5.14126342122353,0.381014182058879,4.39447562438813,5.88805121805894,60.9800918836141,5.13615039039843,0.380236449510346,4.39088694935815,5.88141383143871,0.0051130308251004

