"check","pass"
"stage55_pass",TRUE
"primary_horizon_365",TRUE
"realdata_methods_exact_M8_M11",TRUE
"M12_not_available",TRUE
"source_has_1964_patients",TRUE
"source_has_2614_eyes",TRUE
"source_has_40281_visits",TRUE
"one_baseline_per_eligible_eye",TRUE
"primary_has_2612_eligible_eyes",TRUE
"primary_has_1962_eligible_patients",TRUE
"no_duplicate_eligible_eye_day",TRUE
"all_baseline_covariates_complete",TRUE
"all_outcomes_complete",TRUE
"shared_visits_present",TRUE
"hybrid_bilateral_patients_present",TRUE
"source_md5_matches_stage55",TRUE
"no_zero_length_column_names_after_import",TRUE
"visit_models_all_converged",TRUE
"visit_model_same_visit_leakage_absent",TRUE
"visit_model_history_rules_pass",TRUE
"M9_weight_positive_finite",TRUE
"M10_weight_positive_finite",TRUE
"M11_weight_positive_finite",TRUE
"outcome_models_M8_M11_all_converged",TRUE
"primary_estimand_has_exactly_four_methods",TRUE
"primary_estimand_all_finite",TRUE
"secondary_timepoints_complete",TRUE
"M12_not_fitted",TRUE
"primary_truncation_exactly_1_99",TRUE
