"method","estimate","std_error","ci_lower","ci_upper","p_value","converged","runtime_seconds","n_records","failure_reason","warning","scenario_id","mechanism","structure","true_beta3","replicate","seed","absolute_error","z_value","reject_005","ci_covers_truth","ci_width","error","squared_error"
"M8_patient_clustered_GEE",-0.0554396243699044,0.0337331892389026,-0.121556675278153,0.0106774265383447,0.10028487032071,TRUE,0.409999999999997,24517,"","","VD_B_N","VD","B",0,1,20560001,0.0554396243699044,-1.64347414581154,FALSE,TRUE,0.132234101816498,-0.0554396243699044,0.0030735519502761
"M9_single_process_IIW_GEE",-0.014392037012592,0.0273369609087657,-0.0679724803937727,0.0391884063685888,0.598563032298859,TRUE,0.439999999999998,24517,"","","VD_B_N","VD","B",0,1,20560001,0.014392037012592,-0.52646806865708,FALSE,TRUE,0.107160886762361,-0.014392037012592,0.000207130729371817
"M10_separate_two_process_IIW_GEE",-0.015626110451891,0.0268525887797187,-0.0682571844601397,0.0370049635563577,0.560619264099251,TRUE,0.530000000000001,24517,"","","VD_B_N","VD","B",0,1,20560001,0.015626110451891,-0.581921936096275,FALSE,TRUE,0.105262148016497,-0.015626110451891,0.000244175327854698
"M11_combined_two_process_IIW_GEE",-0.0161827210327167,0.0267702051208795,-0.0686523230696406,0.0362868810042072,0.545507991024997,TRUE,0.450000000000003,24517,"","","VD_B_N","VD","B",0,1,20560001,0.0161827210327167,-0.604504932242561,FALSE,TRUE,0.104939204073848,-0.0161827210327167,0.000261880460022733
"M12_oracle_combined_IIW_GEE",-0.0126463766855569,0.0267366890851402,-0.0650502872924317,0.0397575339213179,0.636215240561719,TRUE,0.5,24517,"","","VD_B_N","VD","B",0,1,20560001,0.0126463766855569,-0.472997110647687,FALSE,TRUE,0.10480782121375,-0.0126463766855569,0.000159930843272996
"M8_patient_clustered_GEE",-0.0504817107121802,0.0292146358655137,-0.107742397008587,0.00677897558422666,0.0839954664340692,TRUE,0.379999999999995,23908,"","","VD_B_N","VD","B",0,2,20560002,0.0504817107121802,-1.72795960711498,FALSE,TRUE,0.114521372592814,-0.0504817107121802,0.00254840311642824
"M9_single_process_IIW_GEE",-0.016358259405873,0.0286772349049387,-0.0725656398195527,0.0398491210078068,0.568388349812287,TRUE,0.370000000000005,23908,"","","VD_B_N","VD","B",0,2,20560002,0.016358259405873,-0.570426662825007,FALSE,TRUE,0.11241476082736,-0.016358259405873,0.000267592650789832
"M10_separate_two_process_IIW_GEE",-0.0193028387260702,0.0295625505930784,-0.0772454378885039,0.0386397604363634,0.51378913875407,TRUE,0.389999999999986,23908,"","","VD_B_N","VD","B",0,2,20560002,0.0193028387260702,-0.652949029729177,FALSE,TRUE,0.115885198324867,-0.0193028387260702,0.000372599582884677
"M11_combined_two_process_IIW_GEE",-0.0208539015350219,0.0294992816682674,-0.078672493604826,0.0369646905347823,0.479610520142189,TRUE,0.390000000000001,23908,"","","VD_B_N","VD","B",0,2,20560002,0.0208539015350219,-0.70692913032708,FALSE,TRUE,0.115637184139608,-0.0208539015350219,0.000434885209232387
"M12_oracle_combined_IIW_GEE",-0.0181179725045109,0.0288876276635512,-0.0747377227250713,0.0385017777160495,0.530536029033043,TRUE,0.38000000000001,23908,"","","VD_B_N","VD","B",0,2,20560002,0.0181179725045109,-0.627187968341585,FALSE,TRUE,0.113239500441121,-0.0181179725045109,0.000328260927674212
"M8_patient_clustered_GEE",-0.0048407396491295,0.0317119641877534,-0.0669961894571262,0.0573147101588672,0.878676572817571,TRUE,0.539999999999999,26029,"","","VD_B_N","VD","B",0,3,20560003,0.0048407396491295,-0.152647108847295,FALSE,TRUE,0.124310899615993,-0.0048407396491295,2.34327603506544e-05
"M9_single_process_IIW_GEE",0.0453216540877038,0.0267649227782744,-0.00713759455771406,0.0977809027331216,0.0903940397942848,TRUE,0.520000000000003,26029,"","","VD_B_N","VD","B",0,3,20560003,0.0453216540877038,1.69332280399823,FALSE,TRUE,0.104918497290836,0.0453216540877038,0.00205405232924548
"M10_separate_two_process_IIW_GEE",0.0338128419586638,0.0279137292882224,-0.0208980674462522,0.0885237513635797,0.225767524541804,TRUE,0.509999999999998,26029,"","","VD_B_N","VD","B",0,3,20560003,0.0338128419586638,1.21133373507818,FALSE,TRUE,0.109421818809832,0.0338128419586638,0.00114330828132157
"M11_combined_two_process_IIW_GEE",0.0326535962502878,0.0277017524678046,-0.0216418385866093,0.0869490310871849,0.238495503130256,TRUE,0.5,26029,"","","VD_B_N","VD","B",0,3,20560003,0.0326535962502878,1.1787556144052,FALSE,TRUE,0.108590869673794,0.0326535962502878,0.00106625734807681
"M12_oracle_combined_IIW_GEE",0.0474814567498954,0.0263767242861851,-0.00421692285102746,0.0991798363508182,0.0718405680808731,TRUE,0.519999999999996,26029,"","","VD_B_N","VD","B",0,3,20560003,0.0474814567498954,1.80012712096945,FALSE,TRUE,0.103396759201846,0.0474814567498954,0.00225448873509218
"M8_patient_clustered_GEE",-0.113864838046213,0.0304683921047306,-0.173582886571485,-0.054146789520941,0.000186120657649289,TRUE,0.349999999999994,24043,"","","VD_B_N","VD","B",0,4,20560004,0.113864838046213,-3.73714627456609,TRUE,FALSE,0.119436097050544,-0.113864838046213,0.0129652013432903
"M9_single_process_IIW_GEE",-0.037269617769375,0.025017082453814,-0.0863030993788505,0.0117638638401005,0.136285575061418,TRUE,0.409999999999997,24043,"","","VD_B_N","VD","B",0,4,20560004,0.037269617769375,-1.48976675590294,FALSE,TRUE,0.098066963218951,-0.037269617769375,0.00138902440867531
"M10_separate_two_process_IIW_GEE",-0.0345448679381958,0.0245359153577406,-0.0826352620393674,0.0135455261629759,0.159151598032829,TRUE,0.510000000000005,24043,"","","VD_B_N","VD","B",0,4,20560004,0.0345448679381958,-1.40793067772373,FALSE,TRUE,0.0961807882023433,-0.0345448679381958,0.00119334790086739
"M11_combined_two_process_IIW_GEE",-0.0341252865714258,0.0246617490234034,-0.0824623146572964,0.0142117415144449,0.166440093253899,TRUE,0.409999999999997,24043,"","","VD_B_N","VD","B",0,4,20560004,0.0341252865714258,-1.38373343022191,FALSE,TRUE,0.0966740561717413,-0.0341252865714258,0.00116453518358193
"M12_oracle_combined_IIW_GEE",-0.0305254090466648,0.0245722061150672,-0.0786869330321965,0.0176361149388669,0.214135540876272,TRUE,0.420000000000002,24043,"","","VD_B_N","VD","B",0,4,20560004,0.0305254090466648,-1.24227384809161,FALSE,TRUE,0.0963230479710634,-0.0305254090466648,0.000931800597466205
"M8_patient_clustered_GEE",-0.0385068121238785,0.0309040897968865,-0.099078828125776,0.0220652038780191,0.212760638458406,TRUE,0.390000000000001,22879,"","","VD_B_N","VD","B",0,5,20560005,0.0385068121238785,-1.24601023285138,FALSE,TRUE,0.121144032003795,-0.0385068121238785,0.00148277457994367
"M9_single_process_IIW_GEE",-0.000599439630799473,0.0269275485864679,-0.0533774348602766,0.0521785555986777,0.982239596567184,TRUE,0.43,22879,"","","VD_B_N","VD","B",0,5,20560005,0.000599439630799473,-0.02226120320142,FALSE,TRUE,0.105555990458954,-0.000599439630799473,3.59327870973009e-07
"M10_separate_two_process_IIW_GEE",0.00314808424368899,0.0268511563798525,-0.0494801822608219,0.0557763507481999,0.906668256664095,TRUE,0.43,22879,"","","VD_B_N","VD","B",0,5,20560005,0.00314808424368899,0.11724203602833,FALSE,TRUE,0.105256533009022,0.00314808424368899,9.91043440536288e-06
"M11_combined_two_process_IIW_GEE",0.000988254945716616,0.026838693658047,-0.0516155846240556,0.0535920945154888,0.970626915608587,TRUE,0.43,22879,"","","VD_B_N","VD","B",0,5,20560005,0.000988254945716616,0.0368220211575129,FALSE,TRUE,0.105207679139544,0.000988254945716616,9.76647837733352e-07
"M12_oracle_combined_IIW_GEE",0.00253829422575523,0.0270460056071919,-0.0504718767643409,0.0555484652158514,0.925227531404776,TRUE,0.410000000000004,22879,"","","VD_B_N","VD","B",0,5,20560005,0.00253829422575523,0.0938509834916346,FALSE,TRUE,0.106020341980192,0.00253829422575523,6.44293757650232e-06
"M8_patient_clustered_GEE",-0.0625874682287133,0.0311250007516296,-0.123592469701907,-0.00158246675551928,0.0443421161197395,TRUE,0.409999999999997,23929,"","","VD_B_N","VD","B",0,6,20560006,0.0625874682287133,-2.01084230417043,TRUE,FALSE,0.122010002946388,-0.0625874682287133,0.0039171911792802
"M9_single_process_IIW_GEE",0.00221437695280066,0.0267806426255737,-0.0502756825933238,0.0547044364989251,0.93410143279136,TRUE,0.469999999999999,23929,"","","VD_B_N","VD","B",0,6,20560006,0.00221437695280066,0.0826857287840463,FALSE,TRUE,0.104980119092249,0.00221437695280066,4.90346528909473e-06
"M10_separate_two_process_IIW_GEE",0.00117856796537021,0.0266736619075377,-0.0511018093734038,0.0534589453041442,0.964757171316653,TRUE,0.450000000000003,23929,"","","VD_B_N","VD","B",0,6,20560006,0.00117856796537021,0.0441847081010335,FALSE,TRUE,0.104560754677548,0.00117856796537021,1.38902244899688e-06
"M11_combined_two_process_IIW_GEE",-0.00195469261158092,0.0271285637422917,-0.0551266775464726,0.0512172923233107,0.94255978208051,TRUE,0.449999999999989,23929,"","","VD_B_N","VD","B",0,6,20560006,0.00195469261158092,-0.0720529339536573,FALSE,TRUE,0.106343969869783,-0.00195469261158092,3.82082320576905e-06
"M12_oracle_combined_IIW_GEE",0.00245950695305166,0.0268825137413102,-0.0502302199799163,0.0551492338860196,0.927102490060544,TRUE,0.469999999999999,23929,"","","VD_B_N","VD","B",0,6,20560006,0.00245950695305166,0.0914909586476712,FALSE,TRUE,0.105379453865936,0.00245950695305166,6.04917445210948e-06
"M8_patient_clustered_GEE",0.00526750975012651,0.0324470609009397,-0.0583287296157153,0.0688637491159683,0.871036809322384,TRUE,0.420000000000002,23693,"","","VD_B_N","VD","B",0,7,20560007,0.00526750975012651,0.162341660657898,FALSE,TRUE,0.127192478731684,0.00526750975012651,2.77466589676778e-05
"M9_single_process_IIW_GEE",0.0160538240641134,0.0274536664654944,-0.0377553622082557,0.0698630103364824,0.558708661340069,TRUE,0.490000000000002,23693,"","","VD_B_N","VD","B",0,7,20560007,0.0160538240641134,0.584760657899405,FALSE,TRUE,0.107618372544738,0.0160538240641134,0.000257725267081505
"M10_separate_two_process_IIW_GEE",0.0151039290893322,0.0276351274702651,-0.0390609207523874,0.0692687789310518,0.584689167017481,TRUE,0.420000000000002,23693,"","","VD_B_N","VD","B",0,7,20560007,0.0151039290893322,0.546548196876737,FALSE,TRUE,0.108329699683439,0.0151039290893322,0.000228128673935575
"M11_combined_two_process_IIW_GEE",0.0147091404663868,0.0276109752998683,-0.0394083711213551,0.0688266520541287,0.594221860249712,TRUE,0.43,23693,"","","VD_B_N","VD","B",0,7,20560007,0.0147091404663868,0.532728029583836,FALSE,TRUE,0.108235023175484,0.0147091404663868,0.000216358813259898
"M12_oracle_combined_IIW_GEE",0.0178114089537365,0.0274683239202185,-0.0360265059298918,0.0716493238373647,0.516703960760512,TRUE,0.420000000000002,23693,"","","VD_B_N","VD","B",0,7,20560007,0.0178114089537365,0.648434502427944,FALSE,TRUE,0.107675829767257,0.0178114089537365,0.000317246288917244
"M8_patient_clustered_GEE",-0.0841649171683334,0.028925234006093,-0.140858375820276,-0.0274714585163911,0.00361729268147223,TRUE,0.5,25022,"","","VD_B_N","VD","B",0,8,20560008,0.0841649171683334,-2.90974023410163,TRUE,FALSE,0.113386917303884,-0.0841649171683334,0.00708373328195242
"M9_single_process_IIW_GEE",-0.0355777406851308,0.0247798728217622,-0.0841462914157848,0.0129908100455232,0.151073052279184,TRUE,0.580000000000013,25022,"","","VD_B_N","VD","B",0,8,20560008,0.0355777406851308,-1.435751544854,FALSE,TRUE,0.097137101461308,-0.0355777406851308,0.00126577563225841
"M10_separate_two_process_IIW_GEE",-0.0476209874034773,0.0243528764823102,-0.0953526253088053,0.000110650501850641,0.0505292284670971,TRUE,0.559999999999988,25022,"","","VD_B_N","VD","B",0,8,20560008,0.0476209874034773,-1.95545636828853,FALSE,TRUE,0.0954632758106559,-0.0476209874034773,0.00226775844128215
"M11_combined_two_process_IIW_GEE",-0.0488471851373072,0.024447313207421,-0.0967639190238523,-0.000930451250762049,0.0457102154570465,TRUE,0.600000000000009,25022,"","","VD_B_N","VD","B",0,8,20560008,0.0488471851373072,-1.99805944820471,TRUE,FALSE,0.0958334677730903,-0.0488471851373072,0.00238604749583836
