"model","converged","n_risk_rows","expected_interaction","interaction_rule_pass","formula","scenario_id","replicate","seed"
"M9_denominator",TRUE,731460,"group:last_y",TRUE,"observed_event ~ group + time + I(time^2) + design_stratum +      last_y + group:last_y","VD_B_N",1,20560001
"M9_numerator",TRUE,731460,"",TRUE,"observed_event ~ group + time + I(time^2) + design_stratum","VD_B_N",1,20560001
"M10_M11_eye_denominator",TRUE,535970,"group:last_y",TRUE,"eye_event ~ group + time + I(time^2) + last_y + group:last_y","VD_B_N",1,20560001
"M10_M11_eye_numerator",TRUE,535970,"",TRUE,"eye_event ~ group + time + I(time^2)","VD_B_N",1,20560001
"M10_M11_shared_denominator",TRUE,183960,"group:last_patient_mean",TRUE,"shared_event ~ group + time + I(time^2) + last_patient_mean +      group:last_patient_mean","VD_B_N",1,20560001
"M10_M11_shared_numerator",TRUE,183960,"",TRUE,"shared_event ~ group + time + I(time^2)","VD_B_N",1,20560001
"M9_denominator",TRUE,738030,"group:last_y",TRUE,"observed_event ~ group + time + I(time^2) + design_stratum +      last_y + group:last_y","VD_B_N",2,20560002
"M9_numerator",TRUE,738030,"",TRUE,"observed_event ~ group + time + I(time^2) + design_stratum","VD_B_N",2,20560002
"M10_M11_eye_denominator",TRUE,538230,"group:last_y",TRUE,"eye_event ~ group + time + I(time^2) + last_y + group:last_y","VD_B_N",2,20560002
"M10_M11_eye_numerator",TRUE,538230,"",TRUE,"eye_event ~ group + time + I(time^2)","VD_B_N",2,20560002
"M10_M11_shared_denominator",TRUE,190530,"group:last_patient_mean",TRUE,"shared_event ~ group + time + I(time^2) + last_patient_mean +      group:last_patient_mean","VD_B_N",2,20560002
"M10_M11_shared_numerator",TRUE,190530,"",TRUE,"shared_event ~ group + time + I(time^2)","VD_B_N",2,20560002
"M9_denominator",TRUE,753360,"group:last_y",TRUE,"observed_event ~ group + time + I(time^2) + design_stratum +      last_y + group:last_y","VD_B_N",3,20560003
"M9_numerator",TRUE,753360,"",TRUE,"observed_event ~ group + time + I(time^2) + design_stratum","VD_B_N",3,20560003
"M10_M11_eye_denominator",TRUE,586130,"group:last_y",TRUE,"eye_event ~ group + time + I(time^2) + last_y + group:last_y","VD_B_N",3,20560003
"M10_M11_eye_numerator",TRUE,586130,"",TRUE,"eye_event ~ group + time + I(time^2)","VD_B_N",3,20560003
"M10_M11_shared_denominator",TRUE,205860,"group:last_patient_mean",TRUE,"shared_event ~ group + time + I(time^2) + last_patient_mean +      group:last_patient_mean","VD_B_N",3,20560003
"M10_M11_shared_numerator",TRUE,205860,"",TRUE,"shared_event ~ group + time + I(time^2)","VD_B_N",3,20560003
"M9_denominator",TRUE,736935,"group:last_y",TRUE,"observed_event ~ group + time + I(time^2) + design_stratum +      last_y + group:last_y","VD_B_N",4,20560004
"M9_numerator",TRUE,736935,"",TRUE,"observed_event ~ group + time + I(time^2) + design_stratum","VD_B_N",4,20560004
"M10_M11_eye_denominator",TRUE,569757,"group:last_y",TRUE,"eye_event ~ group + time + I(time^2) + last_y + group:last_y","VD_B_N",4,20560004
"M10_M11_eye_numerator",TRUE,569757,"",TRUE,"eye_event ~ group + time + I(time^2)","VD_B_N",4,20560004
"M10_M11_shared_denominator",TRUE,189435,"group:last_patient_mean",TRUE,"shared_event ~ group + time + I(time^2) + last_patient_mean +      group:last_patient_mean","VD_B_N",4,20560004
