"scenario_id","mechanism","structure","true_beta3","replicate","seed","generation_success","five_methods_present","all_methods_converged","model_audit_pass","oracle_audit_pass","weight_audit_pass","structural_audit_pass","dataset_pass","failure_reason"
"VD_B_N","VD","B",0,1,20560001,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,""
"VD_B_N","VD","B",0,2,20560002,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,""
"VD_B_A","VD","B",0.2,1,20660001,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,""
"VD_B_A","VD","B",0.2,2,20660002,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,""
"VD_SH_N","VD","SH",0,1,20760001,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,""
"VD_SH_N","VD","SH",0,2,20760002,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,""
"VD_SH_A","VD","SH",0.2,1,20860001,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,""
"VD_SH_A","VD","SH",0.2,2,20860002,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,""
"VS_B_N","VS","B",0,1,20960001,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,""
"VS_B_N","VS","B",0,2,20960002,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,""
"VS_B_A","VS","B",0.2,1,21060001,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,""
"VS_B_A","VS","B",0.2,2,21060002,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,""
"VS_SH_N","VS","SH",0,1,21160001,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,""
"VS_SH_N","VS","SH",0,2,21160002,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,""
"VS_SH_A","VS","SH",0.2,1,21260001,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,""
"VS_SH_A","VS","SH",0.2,2,21260002,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,""
