"method","estimate","std_error","ci_lower","ci_upper","p_value","converged","runtime_seconds","n_records","failure_reason","warning","scenario_id","mechanism","structure","true_beta3","replicate","seed","absolute_error","z_value","reject_005","ci_covers_truth","ci_width","error","squared_error"
"M8_patient_clustered_GEE",-0.0554396243699044,0.0337331892389026,-0.121556675278153,0.0106774265383447,0.10028487032071,TRUE,0.439999999999998,24517,"","","VD_B_N","VD","B",0,1,20560001,0.0554396243699044,-1.64347414581154,FALSE,TRUE,0.132234101816498,-0.0554396243699044,0.0030735519502761
"M9_single_process_IIW_GEE",-0.014392037012592,0.0273369609087657,-0.0679724803937727,0.0391884063685888,0.598563032298859,TRUE,0.540000000000006,24517,"","","VD_B_N","VD","B",0,1,20560001,0.014392037012592,-0.52646806865708,FALSE,TRUE,0.107160886762361,-0.014392037012592,0.000207130729371817
"M10_separate_two_process_IIW_GEE",-0.015626110451891,0.0268525887797187,-0.0682571844601397,0.0370049635563577,0.560619264099251,TRUE,0.459999999999994,24517,"","","VD_B_N","VD","B",0,1,20560001,0.015626110451891,-0.581921936096275,FALSE,TRUE,0.105262148016497,-0.015626110451891,0.000244175327854698
"M11_combined_two_process_IIW_GEE",-0.0161827210327167,0.0267702051208795,-0.0686523230696406,0.0362868810042072,0.545507991024997,TRUE,0.469999999999999,24517,"","","VD_B_N","VD","B",0,1,20560001,0.0161827210327167,-0.604504932242561,FALSE,TRUE,0.104939204073848,-0.0161827210327167,0.000261880460022733
"M12_oracle_combined_IIW_GEE",-0.0126463766855569,0.0267366890851402,-0.0650502872924317,0.0397575339213179,0.636215240561719,TRUE,0.460000000000008,24517,"","","VD_B_N","VD","B",0,1,20560001,0.0126463766855569,-0.472997110647687,FALSE,TRUE,0.10480782121375,-0.0126463766855569,0.000159930843272996
"M8_patient_clustered_GEE",-0.0504817107121802,0.0292146358655137,-0.107742397008587,0.00677897558422666,0.0839954664340692,TRUE,0.430000000000007,23908,"","","VD_B_N","VD","B",0,2,20560002,0.0504817107121802,-1.72795960711498,FALSE,TRUE,0.114521372592814,-0.0504817107121802,0.00254840311642824
"M9_single_process_IIW_GEE",-0.016358259405873,0.0286772349049387,-0.0725656398195527,0.0398491210078068,0.568388349812287,TRUE,0.390000000000015,23908,"","","VD_B_N","VD","B",0,2,20560002,0.016358259405873,-0.570426662825007,FALSE,TRUE,0.11241476082736,-0.016358259405873,0.000267592650789832
"M10_separate_two_process_IIW_GEE",-0.0193028387260702,0.0295625505930784,-0.0772454378885039,0.0386397604363634,0.51378913875407,TRUE,0.409999999999997,23908,"","","VD_B_N","VD","B",0,2,20560002,0.0193028387260702,-0.652949029729177,FALSE,TRUE,0.115885198324867,-0.0193028387260702,0.000372599582884677
"M11_combined_two_process_IIW_GEE",-0.0208539015350219,0.0294992816682674,-0.078672493604826,0.0369646905347823,0.479610520142189,TRUE,0.370000000000005,23908,"","","VD_B_N","VD","B",0,2,20560002,0.0208539015350219,-0.70692913032708,FALSE,TRUE,0.115637184139608,-0.0208539015350219,0.000434885209232387
"M12_oracle_combined_IIW_GEE",-0.0181179725045109,0.0288876276635512,-0.0747377227250713,0.0385017777160495,0.530536029033043,TRUE,0.360000000000014,23908,"","","VD_B_N","VD","B",0,2,20560002,0.0181179725045109,-0.627187968341585,FALSE,TRUE,0.113239500441121,-0.0181179725045109,0.000328260927674212
"M8_patient_clustered_GEE",0.179733432817293,0.0322562963511469,0.116511091969045,0.242955773665541,2.51770935666137e-08,TRUE,0.490000000000009,24204,"","","VD_B_A","VD","B",0.2,1,20660001,0.020266567182707,5.57204183830307,TRUE,TRUE,0.126444681696496,-0.020266567182707,0.000410733745371178
"M9_single_process_IIW_GEE",0.224736041391304,0.0280329432543658,0.169791472612747,0.279680610169861,1.08487059681917e-15,TRUE,0.5,24204,"","","VD_B_A","VD","B",0.2,1,20660001,0.0247360413913038,8.01685500348963,TRUE,TRUE,0.109889137557114,0.0247360413913038,0.000611871743712294
"M10_separate_two_process_IIW_GEE",0.225540842684842,0.0274736287026789,0.171692530427591,0.279389154942092,2.22375014957054e-16,TRUE,0.439999999999998,24204,"","","VD_B_A","VD","B",0.2,1,20660001,0.0255408426848416,8.20935760345519,TRUE,TRUE,0.107696624514501,0.0255408426848416,0.000652334645051829
"M11_combined_two_process_IIW_GEE",0.224428952851788,0.0274552648364481,0.17061663377235,0.278241271931226,2.97464360627685e-16,TRUE,0.590000000000003,24204,"","","VD_B_A","VD","B",0.2,1,20660001,0.024428952851788,8.17435031818919,TRUE,TRUE,0.107624638158877,0.024428952851788,0.000596773737434883
"M12_oracle_combined_IIW_GEE",0.219120358983151,0.0273402007897587,0.165533565435224,0.272707152531078,1.10509649988502e-15,TRUE,0.409999999999997,24204,"","","VD_B_A","VD","B",0.2,1,20660001,0.0191203589831514,8.0145848477174,TRUE,TRUE,0.107173587095854,0.0191203589831514,0.000365588127644579
"M8_patient_clustered_GEE",0.131532940311255,0.0321015725225023,0.0686138581671509,0.19445202245536,4.17818980764799e-05,TRUE,0.359999999999985,24001,"","","VD_B_A","VD","B",0.2,2,20660002,0.0684670596887446,4.09739866229464,TRUE,FALSE,0.125838164288209,-0.0684670596887446,0.00468773826242212
"M9_single_process_IIW_GEE",0.185445971062715,0.0268581903874659,0.132803917903281,0.238088024222148,5.03330724134502e-12,TRUE,0.430000000000007,24001,"","","VD_B_A","VD","B",0.2,2,20660002,0.0145540289372854,6.90463387098699,TRUE,TRUE,0.105284106318867,-0.0145540289372854,0.00021181975830734
"M10_separate_two_process_IIW_GEE",0.184935390984482,0.0263315518552049,0.13332554934828,0.236545232620683,2.16629163355263e-12,TRUE,0.390000000000015,24001,"","","VD_B_A","VD","B",0.2,2,20660002,0.0150646090155184,7.02333808510134,TRUE,TRUE,0.103219683272403,-0.0150646090155184,0.000226942444790439
"M11_combined_two_process_IIW_GEE",0.183394647793092,0.0262604694055459,0.131924127758222,0.234865167827962,2.87551855809758e-12,TRUE,0.389999999999986,24001,"","","VD_B_A","VD","B",0.2,2,20660002,0.016605352206908,6.98367744159064,TRUE,TRUE,0.10294104006974,-0.016605352206908,0.000275737721915464
"M12_oracle_combined_IIW_GEE",0.184417859006017,0.0263976618404446,0.132678441798746,0.236157276213288,2.82544681184737e-12,TRUE,0.379999999999995,24001,"","","VD_B_A","VD","B",0.2,2,20660002,0.015582140993983,6.98614370169198,TRUE,TRUE,0.103478834414543,-0.015582140993983,0.000242803117956366
"M8_patient_clustered_GEE",-0.0501522237779851,0.0332492968033949,-0.115320845512639,0.0150163979566689,0.131459995481108,TRUE,0.460000000000008,23972,"","","VD_SH_N","VD","SH",0,1,20760001,0.0501522237779851,-1.50836945739148,FALSE,TRUE,0.130337243469308,-0.0501522237779851,0.00251524554987709
"M9_single_process_IIW_GEE",-0.0150408035323937,0.0276178610743098,-0.069171811238041,0.0390902041732536,0.5860257556303,TRUE,0.510000000000005,23972,"","","VD_SH_N","VD","SH",0,1,20760001,0.0150408035323937,-0.5446042143497,FALSE,TRUE,0.108262015411295,-0.0150408035323937,0.000226225770900066
"M10_separate_two_process_IIW_GEE",-0.0145916680250859,0.0270032646765174,-0.06751806679106,0.0383347307408882,0.588944091283077,TRUE,0.549999999999997,23972,"","","VD_SH_N","VD","SH",0,1,20760001,0.0145916680250859,-0.54036681119432,FALSE,TRUE,0.105852797531948,-0.0145916680250859,0.000212916775754315
"M11_combined_two_process_IIW_GEE",-0.0112088937120228,0.0270431200928913,-0.0642134090940897,0.0417956216700441,0.678520951550907,TRUE,0.689999999999998,23972,"","","VD_SH_N","VD","SH",0,1,20760001,0.0112088937120228,-0.414482266599455,FALSE,TRUE,0.106009030764134,-0.0112088937120228,0.000125639298247425
"M12_oracle_combined_IIW_GEE",-0.00554668383319519,0.0269194825814933,-0.0583088696929221,0.0472155020265318,0.836754047158555,TRUE,0.480000000000004,23972,"","","VD_SH_N","VD","SH",0,1,20760001,0.00554668383319519,-0.206047193381363,FALSE,TRUE,0.105524371719454,-0.00554668383319519,3.07657015454289e-05
"M8_patient_clustered_GEE",-0.0112379199964885,0.0325904383357597,-0.0751151791345775,0.0526393391416006,0.730227734357714,TRUE,0.560000000000002,24105,"","","VD_SH_N","VD","SH",0,2,20760002,0.0112379199964885,-0.344822609647373,FALSE,TRUE,0.127754518276178,-0.0112379199964885,0.000126290845847475
"M9_single_process_IIW_GEE",0.011148199861343,0.0274827326045328,-0.0427179560435412,0.0650143557662273,0.685004347434852,TRUE,0.5,24105,"","","VD_SH_N","VD","SH",0,2,20760002,0.011148199861343,0.4056437917496,FALSE,TRUE,0.107732311809768,0.011148199861343,0.000124282360148449
"M10_separate_two_process_IIW_GEE",0.00888973519375916,0.0271836973295667,-0.0443903115721915,0.0621697819597098,0.743649350171843,TRUE,0.469999999999999,24105,"","","VD_SH_N","VD","SH",0,2,20760002,0.00888973519375916,0.327024506121547,FALSE,TRUE,0.106560093531901,0.00888973519375916,7.90273918151602e-05
"M11_combined_two_process_IIW_GEE",0.00820833307938883,0.027157200455223,-0.0450197798128483,0.061436445971626,0.762459547497002,TRUE,0.439999999999998,24105,"","","VD_SH_N","VD","SH",0,2,20760002,0.00820833307938883,0.302252549666258,FALSE,TRUE,0.106456225784474,0.00820833307938883,6.73767319421889e-05
"M12_oracle_combined_IIW_GEE",0.0133068078637396,0.0271781247131883,-0.0399623165741095,0.0665759323015887,0.624406611813737,TRUE,0.400000000000006,24105,"","","VD_SH_N","VD","SH",0,2,20760002,0.0133068078637396,0.489614644283475,FALSE,TRUE,0.106538248875698,0.0133068078637396,0.000177071135522482
"M8_patient_clustered_GEE",0.0954540140701577,0.0327576620529461,0.0312489964463834,0.159659031693932,0.00356893178822313,TRUE,0.489999999999995,26020,"","","VD_SH_A","VD","SH",0.2,1,20860001,0.104545985929842,2.91394464952584,TRUE,FALSE,0.128410035247549,-0.104545985929842,0.0109298631740428
"M9_single_process_IIW_GEE",0.138834695373941,0.0256578598669779,0.0885452900346643,0.189124100713218,6.26735588120274e-08,TRUE,0.560000000000002,26020,"","","VD_SH_A","VD","SH",0.2,1,20860001,0.0611653046260591,5.41100060931518,TRUE,FALSE,0.100578810678553,-0.0611653046260591,0.00374119448999861
"M10_separate_two_process_IIW_GEE",0.133952228710132,0.0251186023932838,0.0847197680192954,0.183184689400968,9.6715199895116e-08,TRUE,0.449999999999989,26020,"","","VD_SH_A","VD","SH",0.2,1,20860001,0.0660477712898684,5.33278988268661,TRUE,FALSE,0.0984649213816725,-0.0660477712898684,0.00436230809235876
"M11_combined_two_process_IIW_GEE",0.134014684992931,0.0250726886373973,0.0848722152636322,0.18315715472223,9.03938776583991e-08,TRUE,0.580000000000013,26020,"","","VD_SH_A","VD","SH",0.2,1,20860001,0.0659853150070692,5.34504643403263,TRUE,FALSE,0.0982849394585973,-0.0659853150070692,0.00435406179658215
"M12_oracle_combined_IIW_GEE",0.133452068637398,0.0250941515251333,0.0842675316481364,0.182636605626659,1.0488258310727e-07,TRUE,0.489999999999995,26020,"","","VD_SH_A","VD","SH",0.2,1,20860001,0.0665479313626024,5.31805462733966,TRUE,FALSE,0.0983690739785225,-0.0665479313626024,0.00442862716864164
"M8_patient_clustered_GEE",0.142198241670978,0.0310450496267093,0.0813499444026276,0.203046538939328,4.64123477553551e-06,TRUE,0.389999999999986,24648,"","","VD_SH_A","VD","SH",0.2,2,20860002,0.0578017583290222,4.58038377714942,TRUE,TRUE,0.1216965945367,-0.0578017583290222,0.00334104326592669
