"compared_follow_up_rows","maximum_denominator_difference","maximum_numerator_difference","tolerance","equivalent","scenario_id","replicate","seed"
23849,0,0,1e-12,TRUE,"VD_B_N",1,20560001
23234,0,0,1e-12,TRUE,"VD_B_N",2,20560002
23547,0,0,1e-12,TRUE,"VD_B_A",1,20660001
23332,0,0,1e-12,TRUE,"VD_B_A",2,20660002
23312,0,0,1e-12,TRUE,"VD_SH_N",1,20760001
23431,0,0,1e-12,TRUE,"VD_SH_N",2,20760002
25334,0,0,1e-12,TRUE,"VD_SH_A",1,20860001
23999,0,0,1e-12,TRUE,"VD_SH_A",2,20860002
22641,0,0,1e-12,TRUE,"VS_B_N",1,20960001
22831,0,0,1e-12,TRUE,"VS_B_N",2,20960002
25521,0,0,1e-12,TRUE,"VS_B_A",1,21060001
24650,0,0,1e-12,TRUE,"VS_B_A",2,21060002
22843,0,0,1e-12,TRUE,"VS_SH_N",1,21160001
22938,0,0,1e-12,TRUE,"VS_SH_N",2,21160002
24197,0,0,1e-12,TRUE,"VS_SH_A",1,21260001
23467,0,0,1e-12,TRUE,"VS_SH_A",2,21260002
