"scenario_id","mechanism","structure","true_beta3","method","attempted","successful","convergence_rate","mean_estimate","bias","relative_bias_percent","empirical_se","mean_model_se","model_to_empirical_se_ratio","rmse","coverage_95","rejection_rate_005","rejection_label","mean_ci_width","mcse_bias","mcse_coverage","mcse_rejection","minimum_estimate","maximum_estimate"
"VD_B_A","VD","B",0.2,"M10_separate_two_process_IIW_GEE",2,2,1,0.205238116834662,0.0052381168346616,2.6190584173308,0.0287123902504674,0.0269025902789419,0.93696797947722,0.0209675593458355,1,1,"power",0.105458153893452,0.02030272585018,0,0,0.184935390984482,0.225540842684842
"VD_B_A","VD","B",0.2,"M11_combined_two_process_IIW_GEE",2,2,1,0.20391180032244,0.00391180032244003,1.95590016122001,0.0290156353682814,0.026857867120997,0.92563429268748,0.020886735735274,1,1,"power",0.105282839114308,0.020517152529348,0,0,0.183394647793092,0.224428952851788
"VD_B_A","VD","B",0.2,"M12_oracle_combined_IIW_GEE",2,2,1,0.201769108994584,0.0017691089945842,0.884554497292099,0.0245383730579578,0.0268689313151017,1.09497607081119,0.0174412047405124,1,1,"power",0.105326210755198,0.0173512499885672,0,0,0.184417859006017,0.219120358983151
"VD_B_A","VD","B",0.2,"M8_patient_clustered_GEE",2,2,1,0.155633186564274,-0.0443668134357258,-22.1834067178629,0.0340828951075505,0.0321789344368246,0.944137354977683,0.0504899594364726,0.5,1,"power",0.126141422992352,0.0241002462530188,0.353553390593274,0,0.131532940311255,0.179733432817293
"VD_B_A","VD","B",0.2,"M9_single_process_IIW_GEE",2,2,1,0.205091006227009,0.00509100622700921,2.54550311350461,0.0277822751626417,0.0274455668209159,0.987880461922045,0.0202939831233254,1,1,"power",0.10758662193799,0.0196450351642946,0,0,0.185445971062715,0.224736041391304
"VD_B_N","VD","B",0,"M10_separate_two_process_IIW_GEE",2,2,1,-0.0174644745889806,-0.0174644745889806,NA,0.00259983949525244,0.0282075696863986,10.8497350463012,0.0175609639647056,1,0,"type_I_error",0.110573673170682,0.00183836413708961,0,0,-0.0193028387260702,-0.015626110451891
"VD_B_N","VD","B",0,"M11_combined_two_process_IIW_GEE",2,2,1,-0.0185183112838693,-0.0185183112838693,NA,0.00330302340932634,0.0281347433945735,8.51787586946337,0.0186650163307606,1,0,"type_I_error",0.110288194106728,0.00233559025115257,0,0,-0.0208539015350219,-0.0161827210327167
"VD_B_N","VD","B",0,"M12_oracle_combined_IIW_GEE",2,2,1,-0.0153821745950339,-0.0153821745950339,NA,0.00386900250749433,0.0278121583743457,7.18845705591377,0.0156235682695601,1,0,"type_I_error",0.109023660827435,0.002735797909477,0,0,-0.0181179725045109,-0.0126463766855569
"VD_B_N","VD","B",0,"M8_patient_clustered_GEE",2,2,1,-0.0529606675410423,-0.0529606675410423,NA,0.00350577436791421,0.0314739125522081,8.97773480240653,0.0530186526927285,1,0,"type_I_error",0.123377737204656,0.00247895682886212,0,0,-0.0554396243699044,-0.0504817107121802
"VD_B_N","VD","B",0,"M9_single_process_IIW_GEE",2,2,1,-0.0153751482092325,-0.0153751482092325,NA,0.00139032918760983,0.0280070979068522,20.1442206323815,0.0154065469875902,1,0,"type_I_error",0.109787823794861,0.000983111196640496,0,0,-0.016358259405873,-0.014392037012592
