"method","minimum","q01","median","q99","maximum","raw_q01","raw_q99","raw_maximum","mean","effective_sample_fraction","fraction_truncated","scenario_id","replicate","seed"
"M9_single_process_IIW_GEE",0.210975187753685,0.211233656729178,0.910632123214353,3.12600182634696,3.12717180805971,0.210084416391598,3.11396838295268,11.1528103640992,0.999881237673531,0.793229037142147,0.0199589081303199,"VD_B_N",1,20560001
"M10_separate_two_process_IIW_GEE",0.172788014201271,0.172834077055172,0.898350085821286,3.46727385409729,3.46862488431449,0.171283841265565,3.43842943528857,16.5609350005039,0.999754026871383,0.760371930528201,0.0199589081303199,"VD_B_N",1,20560001
"M11_combined_two_process_IIW_GEE",0.178458830163715,0.17870568851985,0.902826887490457,3.38810437843624,3.39082667708142,0.176922837191465,3.36164187327353,16.5609350005039,0.999756829088726,0.768517739303436,0.0199589081303199,"VD_B_N",1,20560001
"M12_oracle_combined_IIW_GEE",0.169790140563051,0.169908884278916,0.917722931867629,3.24001059038922,3.2417333447607,0.154066419464569,2.94152680261618,13.9269472389751,0.997141398408499,0.782297842813393,0.0199589081303199,"VD_B_N",1,20560001
"M9_single_process_IIW_GEE",0.217259671891101,0.217475550398281,0.934845979529348,3.13109183244426,3.13484193917431,0.21475874757031,3.09875607759091,13.0232061503955,0.999662179812295,0.810602310030184,0.0199707325471292,"VD_B_N",2,20560002
"M10_separate_two_process_IIW_GEE",0.188811450434032,0.188840784465242,0.920900569967806,3.44624848286013,3.45168835904774,0.186856927203823,3.41595744831276,18.179404725155,0.99969656369216,0.777641785370796,0.0199276921752604,"VD_B_N",2,20560002
"M11_combined_two_process_IIW_GEE",0.19490390908268,0.194969499530804,0.924781923293942,3.36048115630085,3.36357853561684,0.192492338634113,3.32196055762909,18.179404725155,0.999636568625998,0.786167263929522,0.0199707325471292,"VD_B_N",2,20560002
"M12_oracle_combined_IIW_GEE",0.188139565546403,0.188384969355907,0.930395134160675,3.22409752962668,3.22760099676238,0.17434070749038,2.99087669113078,14.7898187761708,0.997703955744501,0.794632845190502,0.0199707325471292,"VD_B_N",2,20560002
"M9_single_process_IIW_GEE",0.220589303290713,0.22065359176785,0.926009421320557,3.27080665702801,3.27367629183989,0.218753975289602,3.24643893411058,10.6286779414301,0.999765907487788,0.794191664166972,0.0199600798403194,"VD_B_A",1,20660001
"M10_separate_two_process_IIW_GEE",0.189410202780815,0.189441275376306,0.913938665383181,3.45546539259436,3.46002375877274,0.187194260882229,3.41954435742793,15.0374205398309,0.999669709847795,0.766414786452726,0.0199600798403194,"VD_B_A",1,20660001
"M11_combined_two_process_IIW_GEE",0.197106683357043,0.197165911436513,0.917356078060932,3.40709003183676,3.40960531584986,0.19504666318477,3.37397052351044,15.0374205398309,0.999705311808183,0.773419172920193,0.0199600798403194,"VD_B_A",1,20660001
"M12_oracle_combined_IIW_GEE",0.216100837568697,0.216153527282241,0.888666569402561,3.56659451390713,3.56706813128924,0.216123443096405,3.56744126939637,15.9209562621729,1.00000291838482,0.761580024717753,0.0199600798403194,"VD_B_A",1,20660001
"M9_single_process_IIW_GEE",0.200981654879795,0.201073739176462,0.923896278075495,3.24787183211946,3.24824194018649,0.199291870461921,3.22093184255945,9.83908694691969,0.999756882697866,0.790971980177766,0.0199725698611349,"VD_B_A",2,20660002
"M10_separate_two_process_IIW_GEE",0.184911606649159,0.18501110635573,0.912720642527441,3.42169916505226,3.42482257671488,0.182604706317811,3.38209554361942,11.5429510199249,0.999637764495934,0.770936148039148,0.0199725698611349,"VD_B_A",2,20660002
"M11_combined_two_process_IIW_GEE",0.195343080286309,0.195486189426139,0.91386965386105,3.34618645444169,3.34804745276788,0.192815329176793,3.30472351904551,11.5429510199249,0.999624104694819,0.778770594910463,0.0199725698611349,"VD_B_A",2,20660002
"M12_oracle_combined_IIW_GEE",0.201467041769452,0.202016455334548,0.899975555672949,3.54477215504086,3.55047443722567,0.203391547079372,3.58439019261257,12.9593904547111,1.00027130660319,0.76721335895184,0.0199725698611349,"VD_B_A",2,20660002
"M9_single_process_IIW_GEE",0.207575510672581,0.207630153348331,0.913785104374353,3.22851969328127,3.2304787836661,0.206057038753566,3.20684694336818,12.3734668740116,0.999791366659485,0.786301377048835,0.0199897048730268,"VD_SH_N",1,20760001
"M10_separate_two_process_IIW_GEE",0.178767805607287,0.178895292659248,0.905249563196062,3.42137121098798,3.42177191941292,0.176277649706124,3.37410816078136,17.7687658214532,0.999600061063453,0.763717940326834,0.0199468085106383,"VD_SH_N",1,20760001
"M11_combined_two_process_IIW_GEE",0.185308383251334,0.185534325316265,0.905883874423078,3.38226310520752,3.38582169900078,0.182723446183068,3.33859158526969,17.7687658214532,0.999599483789838,0.769129377308133,0.0199897048730268,"VD_SH_N",1,20760001
"M12_oracle_combined_IIW_GEE",0.168958268999841,0.169202550547033,0.922226941391706,3.20893661643329,3.21535271706789,0.153137974499235,2.91428531617386,16.5578689345408,0.99707520072524,0.77786710012603,0.0199897048730268,"VD_SH_N",1,20760001
"M9_single_process_IIW_GEE",0.226899161078049,0.226980811050049,0.931766515626413,3.01675402720349,3.01849245263738,0.226096037772981,3.00780831602195,9.51183057796341,0.999897821776095,0.812159663686537,0.0199735393282404,"VD_SH_N",2,20760002
"M10_separate_two_process_IIW_GEE",0.174634479537887,0.174728877234741,0.905162799132469,3.40358561986555,3.40478489229739,0.173352351999553,3.37978771829104,13.3472241904654,0.999787249513233,0.764627231470216,0.0199735393282404,"VD_SH_N",2,20760002
"M11_combined_two_process_IIW_GEE",0.181131925775092,0.181170910618695,0.909050055550136,3.35135585084211,3.35545485193171,0.179851279466917,3.33173097857263,10.7804673805118,0.999795174160933,0.770330802233267,0.0199735393282404,"VD_SH_N",2,20760002
"M12_oracle_combined_IIW_GEE",0.181434823027614,0.181482814426307,0.933150554094996,3.15588931336609,3.15950824181235,0.167987113567898,2.92532966372867,8.42393640936124,0.997697278467026,0.791974359529553,0.0199735393282404,"VD_SH_N",2,20760002
"M9_single_process_IIW_GEE",0.222644583800486,0.222774980127966,0.936797895544275,3.05170781485234,3.05416870999187,0.221008368351452,3.03172361861825,16.8918023005109,0.99979952873995,0.820283617863142,0.0199731586010894,"VD_SH_A",1,20860001
"M10_separate_two_process_IIW_GEE",0.197544208437442,0.197977312849495,0.936501902703612,3.13809549036758,3.14180840338106,0.195593630023673,3.11078575938503,10.6946455327787,0.99972995940489,0.813698983033174,0.0199731586010894,"VD_SH_A",1,20860001
"M11_combined_two_process_IIW_GEE",0.210929266624777,0.21111610763177,0.937571060805308,3.05120766638003,3.05423098027969,0.209007265317141,3.02640062732842,8.74391381741987,0.999750992375394,0.820725927749745,0.0199731586010894,"VD_SH_A",1,20860001
"M12_oracle_combined_IIW_GEE",0.211271892910183,0.211809901157276,0.909800954682025,3.25697348447688,3.26094716986664,0.204977619141573,3.16379608199883,11.1441824035245,0.999168505207493,0.79624051788913,0.0199731586010894,"VD_SH_A",1,20860001
"M9_single_process_IIW_GEE",0.233190209310628,0.233753215170354,0.927001052879341,2.92875940407519,2.93045623194868,0.231072521234039,2.9038436557187,8.15192182137278,0.999752163515851,0.819657384399153,0.020000833368057,"VD_SH_A",2,20860002
"M10_separate_two_process_IIW_GEE",0.187409347168546,0.187644649279875,0.919923022864204,3.40302277848637,3.41687177943617,0.185152880369949,3.37573158103172,14.1919562147565,0.999670428213492,0.779090095148523,0.020000833368057,"VD_SH_A",2,20860002
"M11_combined_two_process_IIW_GEE",0.194828944524247,0.194875870642506,0.922556175993642,3.36839565211926,3.37014850362134,0.192564685692252,3.33098138431526,14.1919562147565,0.999682019142346,0.784035957862422,0.020000833368057,"VD_SH_A",2,20860002
"M12_oracle_combined_IIW_GEE",0.212552761297398,0.212584938525073,0.900941250308501,3.43758377250904,3.45066244186531,0.206098541903441,3.3458821872201,15.2249282780475,0.999153122965655,0.778517559079599,0.020000833368057,"VD_SH_A",2,20860002
"M9_single_process_IIW_GEE",0.23743049888233,0.237615025374046,0.863353709460796,3.19817394875227,3.1982910573021,0.236415280538443,3.18461562905784,10.2769767691614,0.999878424423466,0.752061393693212,0.01996378251844,"VS_B_N",1,20960001
"M10_separate_two_process_IIW_GEE",0.209253502017446,0.209418913346571,0.839139947564877,3.3997933247566,3.40090104841319,0.208478901380815,3.38831182007617,8.30034955091887,0.99989480910152,0.719768007155998,0.01996378251844,"VS_B_N",1,20960001
