"scenario_id","mechanism","structure","true_beta3","method","attempted","successful","convergence_rate","mean_estimate","bias","absolute_bias","empirical_se","mean_model_se","model_to_empirical_se_ratio","rmse","coverage_95","rejection_rate_005","rejection_label","mean_ci_width","mcse_bias","mcse_coverage","mcse_rejection","minimum_estimate","maximum_estimate"
"VS_B_N","VS","B",0,"M8_patient_clustered_GEE",1000,1000,1,-0.000193305837212822,-0.000193305837212822,0.000193305837212822,0.0318245457400304,0.0316557042432852,0.994694614084224,0.0318092168560376,0.944,0.056,"type_I_error",0.124090360633678,0.00100638050038705,0.00727076337120113,0.00727076337120113,-0.0994198769281029,0.116017206494522
"VS_B_N","VS","B",0,"M9_single_process_IIW_GEE",1000,1000,1,-0.000572002850291015,-0.000572002850291015,0.000572002850291015,0.0284457089842028,0.0272514271781823,0.958015396744593,0.0284372359506877,0.933,0.067,"type_I_error",0.106825594538474,0.000899532300483955,0.00790638982089803,0.00790638982089803,-0.0903802320461489,0.0830052258195909
"VS_B_N","VS","B",0,"M10_separate_two_process_IIW_GEE",1000,1000,1,-0.000523321984478555,-0.000523321984478555,0.000523321984478555,0.0284018420895146,0.0269985668703075,0.95059210544216,0.0283924608891707,0.933,0.067,"type_I_error",0.105834382131605,0.000898145107473021,0.00790638982089803,0.00790638982089803,-0.0892092948442918,0.0759221296113359
"VS_B_N","VS","B",0,"M11_combined_two_process_IIW_GEE",1000,1000,1,-0.000531979388395233,-0.000531979388395233,0.000531979388395233,0.028390410606917,0.02696607295917,0.949830325898846,0.0283811980206015,0.931,0.069,"type_I_error",0.105707005999946,0.00089778361225261,0.00801492358042171,0.00801492358042171,-0.0885322022461235,0.0776476864948841
"VS_B_N","VS","B",0,"M12_oracle_combined_IIW_GEE",1000,1000,1,-0.000783779117295364,-0.000783779117295364,0.000783779117295364,0.0281818716391563,0.0269132151185069,0.954983241109977,0.0281786795450302,0.937,0.063,"type_I_error",0.105499803264547,0.000891189031062369,0.00768316341099159,0.0076831634109916,-0.0832678189242411,0.0768367074254097
"VS_B_A","VS","B",0.2,"M8_patient_clustered_GEE",1000,1000,1,0.201704351052717,0.00170435105271739,0.00170435105271739,0.0324033952892289,0.031657501930301,0.97698101225905,0.0324320036191822,0.941,1,"power",0.12409740756678,0.00102468533036734,0.00745110730026082,0,0.101447191464752,0.314341863365601
"VS_B_A","VS","B",0.2,"M9_single_process_IIW_GEE",1000,1000,1,0.196781424551765,-0.00321857544823457,0.00321857544823457,0.02724031501897,0.0271964610466245,0.99839010773866,0.0274162717284164,0.947,1,"power",0.106610127302768,0.000861414396404379,0.00708456067798138,0,0.111392823817436,0.276532947481502
"VS_B_A","VS","B",0.2,"M10_separate_two_process_IIW_GEE",1000,1000,1,0.19665758622598,-0.00334241377401973,0.00334241377401973,0.0270030500186164,0.0269336451511572,0.997429739699354,0.0271957216384186,0.949,1,"power",0.105579888992536,0.0008539114183028,0.00695693898205238,0,0.110321345409417,0.287837055241408
"VS_B_A","VS","B",0.2,"M11_combined_two_process_IIW_GEE",1000,1000,1,0.196820318015309,-0.00317968198469079,0.00317968198469079,0.0270597328342308,0.0268995716664559,0.994081199221143,0.0272324675606647,0.949,1,"power",0.105446320932507,0.000855703886318128,0.00695693898205238,0,0.109334675767413,0.287751096772046
"VS_B_A","VS","B",0.2,"M12_oracle_combined_IIW_GEE",1000,1000,1,0.195286857006114,-0.00471314299388621,0.00471314299388621,0.0267105625736884,0.0268602570180214,1.00560431641677,0.0271100427098656,0.947,1,"power",0.105292207510644,0.000844662153173043,0.00708456067798138,0,0.111781465018037,0.280167219496924
"VS_SH_N","VS","SH",0,"M8_patient_clustered_GEE",1000,1000,1,0.00114659112532316,0.00114659112532316,0.00114659112532316,0.0324823769662945,0.0314882686582415,0.969395456832346,0.0324863722162963,0.943,0.057,"type_I_error",0.123434013140307,0.00102718295029681,0.00733150734842434,0.00733150734842433,-0.115140174591365,0.0975506599233862
"VS_SH_N","VS","SH",0,"M9_single_process_IIW_GEE",1000,1000,1,0.0011846522400691,0.0011846522400691,0.0011846522400691,0.0276567278200933,0.027310039605432,0.987464597514336,0.0276682688300318,0.944,0.056,"type_I_error",0.107055355253293,0.000874582525388384,0.00727076337120113,0.00727076337120113,-0.0962941878170072,0.0837368878860973
"VS_SH_N","VS","SH",0,"M10_separate_two_process_IIW_GEE",1000,1000,1,0.000817329032013127,0.000817329032013127,0.000817329032013127,0.0273559014935096,0.0269431559161626,0.98491200966472,0.0273544334235357,0.946,0.054,"type_I_error",0.105617171191357,0.000865069561666921,0.00714730718522718,0.00714730718522718,-0.0887236644663423,0.0826627692482328
