"scenario_id","variant","attempted","mechanism","structure","true_beta3","successful","convergence_rate","mean_estimate","bias","absolute_bias","empirical_se","mean_model_se","model_to_empirical_se_ratio","rmse","coverage_95","rejection_rate_005","mcse_bias","mean_ess_fraction","minimum_ess_fraction","mean_raw_q99","maximum_raw_weight","mean_fraction_truncated"
"VS_B_N","frozen_trunc_1_99",50,"VS","B",0,50,1,0.00299424593122893,0.00299424593122893,0.00299424593122893,0.0260504880150546,0.0271142339308157,1.04083401106138,0.0259619120251713,0.92,0.08,0.00368409534573281,0.741610353629003,0.72714692997444,2.92133606777071,13.579737606941,0.0199757943209422
"VS_B_N","mild_trunc_0.5_99.5",50,"VS","B",0,50,1,0.00342208098525988,0.00342208098525988,0.00342208098525988,0.0261517912093732,0.0273546115660341,1.04599380390548,0.0261141436401647,0.92,0.08,0.0036984217808645,0.73283416960242,0.719540138880452,2.92133606777071,13.579737606941,0.00998794302342156
"VS_B_N","untruncated",50,"VS","B",0,50,1,0.00373110321587475,0.00373110321587475,0.00373110321587475,0.0266074392068605,0.0279271175287279,1.04959809591624,0.0266029666753795,0.94,0.06,0.00376286013863598,0.717420206089247,0.702389338081645,2.92133606777071,13.579737606941,0
"VS_B_A","frozen_trunc_1_99",50,"VS","B",0.2,50,1,0.194668258012633,-0.00533174198736665,0.00533174198736665,0.0245875707599346,0.0268394243648356,1.09158503810268,0.0249175668109296,1,1,0.00347720760345076,0.741520203231652,0.727094949746429,3.18272002364729,15.5193421246007,0.0199785106388878
"VS_B_A","mild_trunc_0.5_99.5",50,"VS","B",0.2,50,1,0.196138847914769,-0.00386115208523074,0.00386115208523074,0.0251045340245061,0.027118359821385,1.08021761307791,0.0251503751749574,1,1,0.00355031724945133,0.732298710663666,0.717886888041992,3.18272002364729,15.5193421246007,0.00997973189523597
"VS_B_A","untruncated",50,"VS","B",0.2,50,1,0.199809324007277,-0.000190675992723481,0.000190675992723481,0.026375356734161,0.0278264937459773,1.05501866861717,0.0261109672615047,0.96,1,0.0037300387205879,0.716549897150406,0.700340165269562,3.18272002364729,15.5193421246007,0
"VS_SH_N","frozen_trunc_1_99",50,"VS","SH",0,50,1,0.00394589393679428,0.00394589393679428,0.00394589393679428,0.0277446685718129,0.0269897431007115,0.972790250885593,0.0277478175797121,0.94,0.06,0.00392368865778044,0.753734004312532,0.737770106256314,2.85200175760691,11.9397496552497,0.0199795325422373
"VS_SH_N","mild_trunc_0.5_99.5",50,"VS","SH",0,50,1,0.00407354535409934,0.00407354535409934,0.00407354535409934,0.0280965065063463,0.0272234218435174,0.968925508136333,0.028110837341777,0.92,0.08,0.00397344605565789,0.744959244263507,0.7288749789563,2.85200175760691,11.9397496552497,0.00998626385027038
"VS_SH_N","untruncated",50,"VS","SH",0,50,1,0.00450120674709589,0.00450120674709589,0.00450120674709589,0.0287509268824392,0.027756136818113,0.96539972195005,0.0288156961194325,0.92,0.08,0.00406599507279427,0.730133506220195,0.714979846382597,2.85200175760691,11.9397496552497,0
"VS_SH_A","frozen_trunc_1_99",50,"VS","SH",0.2,50,1,0.187318206095737,-0.0126817939042626,0.0126817939042626,0.0284503430042686,0.0268801395720367,0.944808980615937,0.0308878855435187,0.92,1,0.00402348609308031,0.751992288216998,0.73426791487907,3.08258786258243,19.2979651890099,0.0199836061349364
"VS_SH_A","mild_trunc_0.5_99.5",50,"VS","SH",0.2,50,1,0.188272753221325,-0.0117272467786747,0.0117272467786747,0.0287197947178553,0.0271124303933211,0.944032875571532,0.0307548108996133,0.92,1,0.00406159231985622,0.743358218848196,0.724759497934377,3.08258786258243,19.2979651890099,0.00998374247131301
"VS_SH_A","untruncated",50,"VS","SH",0.2,50,1,0.191063878447712,-0.00893612155228805,0.00893612155228805,0.0292899051889864,0.027803110282147,0.949238657576862,0.0303413058957172,0.94,1,0.00414221811588867,0.72800908196994,0.708363579954616,3.08258786258243,19.2979651890099,0
"VD_B_N","frozen_trunc_1_99",50,"VD","B",0,50,1,-0.00351497602675524,-0.00351497602675524,0.00351497602675524,0.0270386159474246,0.0266096281733563,0.984134255432951,0.0269966678272327,0.94,0.06,0.00382383773806454,0.771814616465233,0.740204644000372,3.01646639138361,23.2201882922344,0.019981676775251
"VD_B_N","mild_trunc_0.5_99.5",50,"VD","B",0,50,1,-0.00127778859739313,-0.00127778859739313,0.00127778859739313,0.0275061359118423,0.0268782053281473,0.97717125423551,0.0272596497821295,0.94,0.06,0.0038899550455005,0.757307300180338,0.7254398480823,3.01646639138361,23.2201882922344,0.0099813349382126
