file,bytes,sha256
simulation_stack/stage13_dgm_pilot.R,9265,c3cf4b20cb4d58c6c7edff85c98179fd13de38d59b3359c180a996ef4d84f866
simulation_stack/stage40_var_mechanism_calibration.R,25674,714ce3d3b18108592e9a9fc6a165a940ac5e3f3da154b33a795d197e4f3610fc
simulation_stack/stage41_var_m8_m12_integration_pilot.R,20635,62abaa0a4e0057fe910698e7ffc56aeacc072100e46d4771f4768e59c7e9652b
simulation_stack/stage43_frozen_var_m8_m12_smoke_test_v1_1.R,22143,8d53f263c058f5fdfdb6bca2b8c886f5b8ff0ce8b7cb02cdbe4dbcad0aefaf6e
simulation_stack/stage44_var_performance_pipeline_pilot.R,22224,444d9437bb6211f6d1af90f09dbe72c18c32cfc6a0e5efe43036e946f08ea048
simulation_stack/stage45_var_intermediate_precision_pilot.R,11467,db6f0dc6e64cc88c3519493fde83c2e82e8d98ca98e538a20cb5dcd075506474
simulation_stack/stage46_final_simulation_design_freeze.R,10613,cf1942a1537096371f2c7bb331628c4d231d45c8b3423b70a0044a428af9d400
simulation_stack/stage46_var_high_precision_confirmation.R,20944,7caec51caa1d7f2bcc116c1f6c9e9d0ff875bd36183b28159f3a89af5ba983df
simulation_stack/stage47_final_production_preflight.R,24501,eef07c0316b6fbb19b24326dbd9a5f411c2e56d59f3c3975e880356bb71445af
simulation_stack/stage48_final_main_production.R,24627,21461282b72cde05c38ac548f79ca0ead680fa8b2e3eef553115676fac2b8fd5
stage42_frozen_var_manifest.csv,672,d6248fa4b1572c638d98fef6c05d9fc17a8fdce8dceabf14f7a07afba4ed9a14
stage46_final_simulation_design.csv,805,d6886b25ec73489713c3c141d8e25d285881df7ff7f76958676ceff7c7b36c67
stage46_final_simulation_design_freeze.R,10613,cf1942a1537096371f2c7bb331628c4d231d45c8b3423b70a0044a428af9d400
stage46_seed_manifest_8000.csv,203195,71501d304cb470f995008d3c82fa2f5d49f7a7b478fde3180d91c55b2f7ae393
stage47_freeze_audit.csv,293,0480ded38fd44ea1a8c2bd6f64adcc8c53c5831ab7d99a871b5f174aa21a26f7
stage47_package_audit.csv,102,4f2df94351ae2a49eaa57c778770d6f3ae4fc23cf9aeb199c57d0a79f13623e3
stage47_worker_audit.csv,210,13a42c046d62c9ece52e26687545e9452c36a266c397a0bd417f40da5e03304a
stage48_completion_audit.csv,494,38c546262425e7058c31aa5be2abff31c97a14aea0421a158d7d24d8e6f063f7
stage48_final_production_summary_object.rds,8998,785724d49e9eb9b3405331601c125c9dc4c1ce48787461160ac13f44ca963c60
stage48_performance_summary.csv,13173,4b076afaafca9ab4294215d0d5395b85645942de8edfb6bde17e0d27d5ce672b
stage48_seed_audit.csv,109,78fd427451c0d9e4e9533c78b95e26cb286f4b26cc298194998a165f6c511b1f
stage48_weight_summary.csv,5048,4938a60d7eb76933264fd604e9927df8160adb29a819b938996b24cf20aac058
stage49_oracle_truncation_performance.csv,5329,f659c33d064edb31f17e67e4735368d8a4890bc7f26e61fa3194a18f96ff3a72
stage49_oracle_truncation_results_long.csv,183711,b6bb16b3f15fc59eb935366470c1ca7b3ee83de7bd414ff39be301c21f9d871a
stage49_oracle_weight_sensitivity.csv,2907,d6bfab502d738fb6a7ac915911617fa9a0578206e1041386f77340c9709d4df8
stage49_postproduction_forensic_audit.R,33212,7a505559ab58b504d5a949fac96b49adfb2af3d4c5f231dae415c1aa86315a62
stage49_technical_audit.csv,416,6422623186908b8d4db9609f202aabdcda6dd2bcdfbabe0b9b077971205f4f63
stage56_frozen_realdata_application_implementation_v1_2.R,47786,54f944485968027b271a3fb2c064541c7701d1a955071c2c1cf31e585c874d8d
stage57_S4_sensitivity_weight_diagnostics.csv,3319,ed820905cf3ef7fd551878667413f82349d692c403be7d041f5a6a224f8eb2cc
stage57_S4_visit_model_diagnostics.csv,2516,11f51bf68ba5164c29f0185133f42b7172abb7b8fa413ad5e1b1f3489a80ed9b
stage57_cohort_summary.csv,446,2af153969307b19170cc46dfd8199528d53f250f003055c206f57f582a6bd84e
stage57_final_audit.csv,1048,a728a14d02fa1d8f3c4a6e7b038872840f1507f8ffa8f6c8a50e760b507f6cf3
stage57_prespecified_realdata_sensitivity_analyses.R,37489,450d36003a3297b3f7ae2afbec1a4d8a42cbbf94a0051403270cda8d23f6c7d7
stage57_sensitivity_marginal_estimates.csv,5698,905f24592303e5311e0e106954f059cf4f97f6fd9a04d3cd149c53e9c8497709
