domain,metric,frozen_value,status
simulation,scenario_count,8,verified_from_frozen_output
simulation,method_count,5,verified_from_frozen_output
simulation,scenario_method_cells,40,verified_from_frozen_output
simulation,datasets_total,8000,verified_from_frozen_output
simulation,method_result_rows,40000,verified_from_frozen_output
simulation,attempted_per_cell,1000,verified_from_frozen_output
simulation,successful_per_cell,1000,verified_from_frozen_output
simulation,convergence_per_cell,1,verified_from_frozen_output
simulation,VD_mean_M8_absolute_bias,0.05056497,verified_from_stage50
simulation,VD_mean_IIW_absolute_bias,0.01066379,verified_from_stage50
simulation,VD_mean_M8_RMSE,0.05996705,verified_from_stage50
simulation,VD_mean_IIW_RMSE,0.02884482,verified_from_stage50
simulation,max_estimated_vs_truncated_oracle_mean_gap,0.00343358,verified_from_stage50
simulation,min_VD_null_M8_coverage,0.586,verified_from_stage50
simulation,max_VD_null_M8_type1_error,0.414,verified_from_stage50
realdata,primary_patients,1962,verified_from_stage57
realdata,primary_eyes,2612,verified_from_stage57
realdata,primary_postbaseline_visits,18046,verified_from_stage57
realdata,bilateral_patients,650,verified_from_stage57
realdata,bilateral_shared_only,305,verified_from_stage57
realdata,bilateral_hybrid,345,verified_from_stage57
realdata,shared_postbaseline_rows,5194,verified_from_stage57
realdata,eye_specific_postbaseline_rows,12852,verified_from_stage57
