metric,calculated,frozen_reference,abs_diff,pass_1e_12
VD_mean_M8_absolute_bias,0.0505649673241994,0.0505649673241994,0.0,True
VD_mean_IIW_absolute_bias,0.010663789293109087,0.010663789293109087,0.0,True
VD_mean_M8_RMSE,0.05996704621994457,0.05996704621994457,0.0,True
VD_mean_IIW_RMSE,0.028844817503379853,0.028844817503379853,0.0,True
VD_mean_M8_coverage,0.62725,0.62725,0.0,True
VD_mean_IIW_coverage,0.9345625,0.9345625,0.0,True
VS_mean_M8_absolute_bias,0.0013998087723446,0.0013998087723446,0.0,True
VS_mean_IIW_absolute_bias,0.0021507839348335065,0.0021507839348335065,0.0,True
VS_mean_M8_RMSE,0.03218165437358717,0.03218165437358717,0.0,True
VS_mean_IIW_RMSE,0.0276348546235614,0.0276348546235614,0.0,True
max_estimated_vs_oracle_mean_gap,0.0034335836182540005,0.0034335836182540005,0.0,True
SE_ratio_min,0.937883179305176,0.937883179305176,0.0,True
SE_ratio_max,1.02628200443457,1.02628200443457,0.0,True
VD_null_M8_coverage_min,0.586,0.586,0.0,True
VD_null_M8_type1_max,0.414,0.414,0.0,True
VD_null_IIW_coverage_min,0.931,0.931,0.0,True
VD_null_IIW_type1_max,0.069,0.069,0.0,True
